"state","location","both_sexes","female","male"
"Vermont","Chittenden County",71.5,66.3,76.9
"Vermont","Windsor County",70.6,64.7,76.7
"Vermont","Washington County",70.2,66.1,74.4
"Vermont","Lamoille County",69.7,65.4,74.2
"Vermont","Addison County",69.1,63.3,75.1
"Vermont","Grand Isle County",68.8,62.5,75.5
"Vermont","Vermont",68.4,62.9,74.2
"Vermont","Bennington County",67.1,61.4,73.1
"Vermont","Franklin County",66.3,60,72.9
"Vermont","Windham County",66.1,59.7,72.7
"Vermont","Orange County",65.7,59.7,71.9
"Vermont","Orleans County",65.3,60,70.8
"Vermont","Caledonia County",64.9,59.4,70.6
"Vermont","Rutland County",64.3,57.9,71
"Vermont","Essex County",63.7,56.2,71.5
